INVENTORY_ID,LOCATION_,SHOP,DESCRIPTION,SYSTEM_PAR,PACK,SIZE,MEASUREMENT,UOM,CASE_,EA,LB,OZ,BAG,GAL,TRAY,SLEEVES,ON_HAND,OPEN_ORDERS,ADJUSTED_PAR,ORDER_,TOTAL_CASE
BAK0001,BAKERS AREA,PANERA BREAD,SUB JUMBO JR 2-PLY TOILET PAPER,3,8,1000,FT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0002,BAKERS AREA,PANERA BREAD,ALMOND SLICED,1,6,2,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0003,BAKERS AREA,PANERA BREAD,SUGAR CANE RAW,1,12,1.5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0004,BAKERS AREA,PANERA BREAD,PAN COATING OLIVE OIL SPRAY,1,6,21,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0005,BAKERS AREA,PANERA BREAD,PAN COATING ARSL ALL-PUR,1,12,14,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0006,BAKERS AREA,PANERA BREAD,LINER TRAY BAKERS (BROWN),2,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0007,BAKERS AREA,PANERA BREAD,COVER BAKERS RACK,2,1,50,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0008,BAKERS AREA,PANERA BREAD,CUP MUFFINE LINER,0.5,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0009,BAKERS AREA,PANERA BREAD,SALT SEA-EXTRA COURSE,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0010,BAKERS AREA,PANERA BREAD,TOPPING CINNAMON SUGAR,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0011,BAKERS AREA,PANERA BREAD,CHOC DARK CONFECT SNAPS CALBAUT,2,12,16,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0012,BAKERS AREA,PANERA BREAD,BAG LOAF PFC FREE,0,1,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0013,BAKERS AREA,PANERA BREAD,CEREAL ROLLED OAT REG,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0014,BAKERS AREA,PANERA BREAD,SUGAR CONFECTIONER 10X,1,12,2,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0015,BAKERS AREA,PANERA BREAD,TOPPING MINI CHOC CANDIES,1,1,15,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0016,BAKERS AREA,PANERA BREAD,TOPPING MIX EVERYTHING BAGEL,0.5,1,6,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0017,NOT USING,PANERA BREAD,SESAME SEED WHL HULLED,0.5,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0018,BAKERS AREA,PANERA BREAD,PFC FREE BAGUETTE BAG,0.25,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0019,NOT USING,PANERA BREAD,BAKING CUP PAPER KRAFT SOUFFLE PET COATED,1,1,720,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0020,BAKERS AREA,PANERA BREAD,LINER PAN PAPER WHITE QUILLON TEST,0,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0021,BAKERS AREA,PANERA BREAD,FLOUR H&R,0,1,25,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0022,BAKERS AREA,PANERA BREAD,OIL MINERAL,1,1,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0023,BAKERS AREA,PANERA BREAD,SALT MALDON FLAKES,1,1,8.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0024,BAKERS AREA,PANERA BREAD,SUGAR GRANULATED,0.02,10,4,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR0001,M BARISTA,PANERA BREAD,COFFEE ESPRESSO BEAN,2,6,1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR0002,M BARISTA,PANERA BREAD,COFFEE ESPRESSO BEAN DECAF,2,6,1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR0003,M BARISTA,PANERA BREAD,SYRUP TEA CHAI,1,4,0.5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0001,DINING ROOM,PANERA BREAD,SUGAR SPLENDA PACKET,2,2000,1,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0002,DINING ROOM,PANERA BREAD,SUGAR SUB PACKET PINK,1,1,3000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0003,DINING ROOM,PANERA BREAD,MUSTARD PACKET - FOOD POLICY,1,,5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0004,DINING ROOM,PANERA BREAD,TEA BAG GNGR TEA IN BULK,1,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0005,DINING ROOM,PANERA BREAD,TEA BAG MANGO CYLON IN BULK,0.5,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0006,DINING ROOM,PANERA BREAD,TEA BAG GNGR ORG IN BULK,0.5,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0007,DINING ROOM,PANERA BREAD,TEA BAG EARL GREY IN BULK,0.75,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0008,DINING ROOM,PANERA BREAD,TEA BAG HONEY GINSENG BULK,0.5,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0009,DINING ROOM,PANERA BREAD,TEA BAG BRITISH BREAKFAST BULK,1,1,250,CT,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0010,DINING ROOM,PANERA BREAD,BUBBLER TEA PAPAYA GREEN LOW CAL 5X1,3.9,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0011,DINING ROOM,PANERA BREAD,KETCHUP PACKET - FOOD POLICY,0.5,1000,9,GM,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0012,DINING ROOM,PANERA BREAD,MAYONNAISE PACKET CLEAN LABEL,2,,16,0Z,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0013,DINING ROOM,PANERA BREAD,MUSTARD SPICY BROWN PACKET,1,500,0.25,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0014,DINING ROOM,PANERA BREAD,SAUCE TABASCO PACKET,1,200,3,GM,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0015,DINING ROOM,PANERA BREAD,SUGAR PACKET 2000 CT,2,1,2000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0016,DINING ROOM,PANERA BREAD,SUGAR PACKET BROWN,2,1,2000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0017,DINING ROOM,PANERA BREAD,PEPPER PACKET,1,3,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DIN0018,DINING ROOM,PANERA BREAD,SALT PACKET POUCH,0.25,3,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0001,EE CHEMICALSCLEANING,PANERA BREAD,GLOVE HYBRID SMALL AMBITEX,0,10,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0002,EE CHEMICALSCLEANING,PANERA BREAD,GLOVE HYBRID XXLG,1,10,150,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0003,EE CHEMICALSCLEANING,PANERA BREAD,SMRTPWR PRESOAK FLTWR 3X4LB,0,3,4,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0004,EE CHEMICALSCLEANING,PANERA BREAD,BROOM ANGULAR LG,1,1,1,EA,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0005,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER ESPRESSO MACH TABLETS,0,1,2,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0006,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER DRAIN (WASH N WALK),0,1,2.5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0007,EE CHEMICALSCLEANING,PANERA BREAD,COVER TOILET SEAT(MCLANE),0,1,5000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0008,EE CHEMICALSCLEANING,PANERA BREAD,POLISH S - S MEDALLION NON ARSL,0,6,32,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0009,EE CHEMICALSCLEANING,PANERA BREAD,24 OZ MAXICOTTON SCREW - ON MOP,0,12,1,CT,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0010,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER RINZA ESPRSO WAND,0.5,2,1.1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0011,EE CHEMICALSCLEANING,PANERA BREAD,SANITIZER SURFACE AND SINK CLEANER,0.5,1,23.5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0012,EE CHEMICALSCLEANING,PANERA BREAD,SANITIZER HAND GEL,0,4,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0013,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER GLASS 2.5 GAL,1,1,2.5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0014,EE CHEMICALSCLEANING,PANERA BREAD,TEST STRIPS SINK & SURFACE CLEANER SANITIZER,0,1,1,EA,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0015,EE CHEMICALSCLEANING,PANERA BREAD,TEST STRIPS CHLORINE,0,1,1,EA,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0016,EE CHEMICALSCLEANING,PANERA BREAD,DELIMER LIME - A - WAY SELECT,0.11,4,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0017,EE CHEMICALSCLEANING,PANERA BREAD,RINSE AID LO TEMP ULTRA DRY/TRUPOWER,0.1,1,4.5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0018,EE CHEMICALSCLEANING,PANERA BREAD,DETERGENT POT/PAN LIQ SCOUT,0.1,2,2,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0019,EE CHEMICALSCLEANING,PANERA BREAD,ICE MELT BLENDED INSTITUTIONAL,0,1,50,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0020,EE CHEMICALSCLEANING,PANERA BREAD,TOWEL TORK HANDS FREE,1,6,700,FT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0021,EE CHEMICALSCLEANING,PANERA BREAD,SOAP HAND LIQ CLEAN & SMOOTH,0.5,4,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0022,EE CHEMICALSCLEANING,PANERA BREAD,SALT PELLET WATER SOFTENER,0.5,1,5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0023,EE CHEMICALSCLEANING,PANERA BREAD,SANITIZER LIQ LOW ENERGY,0.8,1,5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0024,EE CHEMICALSCLEANING,PANERA BREAD,PAD SCOURING GREEN 6X9,2,6,10,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0025,EE CHEMICALSCLEANING,PANERA BREAD,LINER TRASH 40 x 50 CLR,3,1,100,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0026,EE CHEMICALSCLEANING,PANERA BREAD,LINER TRASH 33 X 45 BLUE,1,1,125,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0027,EE CHEMICALSCLEANING,PANERA BREAD,DETERGENT MACH  ULTRA KLN/TRUPOWER REG,1,1,5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0028,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER FREEZER KOOL KLENE,0.25,4,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0029,EE CHEMICALSCLEANING,PANERA BREAD,CLEANER FLOOR AMMON OASIS 115,1,1,2.5,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0030,EE CHEMICALSCLEANING,PANERA BREAD,GLOVE HYBRID EXTRA LARGE AMBITEX,2,10,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0031,EE CHEMICALSCLEANING,PANERA BREAD,GLOVE HYBRID MEDIUM AMBITEX,3,10,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0032,EE CHEMICALSCLEANING,PANERA BREAD,GLOVE HYBRID LARGE AMBITEX,3,10,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
EEC0033,EE CHEMICALSCLEANING,PANERA BREAD,MULTI-TASK WIPES REFILL PACK,4,6,100,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0001,FREEZER,PANERA BREAD,QUINOA & BROWN RICE BLEND,1,5,5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0002,FREEZER,PANERA BREAD,SAUSAGE BREAKFAST PATTY 2022,1,4,8.75,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0003,FREEZER,PANERA BREAD,SAUCE RED MARKET 8/62 OZ,1,8,62,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0004,FREEZER,PANERA BREAD,SAUCE GARLIC CREAM 8/62 OZ,3,8,62,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0005,FREEZER,PANERA BREAD,BRIOCHE ROLL (THAW AMBIENT),3.23,8,12,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0006,FREEZER,PANERA BREAD,ADOBO BLACK BEAN & CORN BLEND W/LIME,3,7,2,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0007,FREEZER,PANERA BREAD,PASTA MAC & CHEESE,14,48,7.7,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0008,FREEZER,PANERA BREAD,PASTA BROCCOLI CHEDDAR MAC,2,48,7.7,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0009,FREEZER,PANERA BREAD,FLATBREAD PIZZA CRUST (THAW AMBIENT),3,12,6,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0010,FREEZER,PANERA BREAD,SOUP CHICKEN WILD RICE,3,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0011,FREEZER,PANERA BREAD,PEPPERONI 10 LB,1,2,5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0012,FREEZER,PANERA BREAD,CHICKEN BREAST SEARED FILET,1.9,8,6,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0013,FREEZER,PANERA BREAD,SOUP BROCCOLI CHEDDAR,7,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0014,FREEZER,PANERA BREAD,SOUP HOMESTYLE CHICKEN NOODLE,2.17,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0015,FREEZER,PANERA BREAD,SOUP CREAMY TOMATO,6,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0016,FREEZER,PANERA BREAD,SOUP BISTRO ONION,1.87,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0017,FREEZER,PANERA BREAD,CEREAL OATMEAL ORGANIC,1.51,44,9,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0018,FREEZER,PANERA BREAD,SAUCE SALSA VERDE,1,18,1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0019,FREEZER,PANERA BREAD,CHICKEN ROASTED AND SEARED,1.57,8,2.5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0020,FREEZER,PANERA BREAD,STEAK TOP SIRLOIN,2,7,4,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0021,FREEZER,PANERA BREAD,TURKEY ROASTED (SOUS VIDE),1.04,6,3.9,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0022,FREEZER,PANERA BREAD,CHICKEN SMOKED (PREPULLED),4.6,12,2.5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0023,FREEZER,PANERA BREAD,DRESSING GREEN GODDESS,1,27,9,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0024,FREEZER,PANERA BREAD,EDAMAME IQF RTE,0.5,20,1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0025,FREEZER,PANERA BREAD,SOUFFLE CHEESE EGG,0.6,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0026,FREEZER,PANERA BREAD,SOUFFLE SPINACH ARTICHOKE,0.7,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0027,FREEZER,PANERA BREAD,SOUFFLE SPINACH BACON,0.75,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0028,FREEZER,PANERA BREAD,BUBBLER LEMONADE AGAVE CONC 5X1 6CT,10,6,61.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0029,FREEZER,PANERA BREAD,SYRUP PEACH MANGO PUREE,2.01,6,61.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0030,FREEZER,PANERA BREAD,SYRUP STRWBRY PUREE W/ VITAMINS,3,6,61.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0031,FREEZER,PANERA BREAD,SYRUP MANGO PUREE W/ VITAMINS,3,6,61.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0032,FREEZER,PANERA BREAD,DOUGH CROISSANT STRAIGHT,2.25,72,2.65,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0033,FREEZER,PANERA BREAD,DOUGH COOKIE CHOC CHIPPER,4,220,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0034,FREEZER,PANERA BREAD,DOUGH COOKIE SUGAR PLAIN,1,220,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0035,FREEZER,PANERA BREAD,DOUGH COOKIE LEMON DROP,1,200,3.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0036,FREEZER,PANERA BREAD,DOUGH COOKIE VERY BERRY OATMEAL,1,220,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0037,FREEZER,PANERA BREAD,DOUGH DANISH BEAR CLAW CLN LBL NO AVICEL,0.61,96,4,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
FRE0038,FREEZER,PANERA BREAD,DOUGH CROISSANT SQUARE BLANK,0.77,192,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
